name,assetTag,category,manufacturer,model,serialNumber,status,condition,location,department,supplier,purchaseDate,warrantyExpiry,notes
"Hp Probook 445 G8","5CD2135534","Laptop","Hp","Probook 445 G8","5CD2135534","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp probook 450 G8","5CD1072RRT","Laptop","Hp","probook 450 G8","5CD1072RRT","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Pavilion 15-cs3xxx","5CD05098LC","Laptop","HP","Pavilion 15-cs3xxx","5CD05098LC","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Aspire A515-53","NXH6FSG0058490762B6600","Laptop","Aspire","A515-53","NXH6FSG0058490762B6600","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp Probook 450 G3","JPH751VHQK","Laptop","Hp","Probook 450 G3","JPH751VHQK","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Note Book 250 G8 HP","CND1468XHM","Laptop","HP","Note Book 250 G8 HP","CND1468XHM","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Lenovo 80XL","PFOU1HA7","Laptop","Lenovo","80XL","PFOU1HA7","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Note Book 250 G8 HP","CND1468X08","Laptop","HP","Note Book 250 G8 HP","CND1468X08","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Note Book 250 G8 HP","CND14686DB","Laptop","HP","Note Book 250 G8 HP","CND14686DB","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Note Book 250 G8 HP","CND1468Y17","Laptop","HP","Note Book 250 G8 HP","CND1468Y17","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Dell Inc. Inspiron","JDJBX23","Laptop","Dell","Inc. Inspiron","JDJBX23","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CN: OMGJN9-LOC00-O1V-4BC1-A08"
"HP ProBook 440 G7HP","5CD034LC6V","Laptop","HP","ProBook 440 G7HP","5CD034LC6V","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT:WHGREOARLDZ6DJ"
"HP Pavilion laptop 15","5CD05098CF","Laptop","HP","Pavilion laptop 15","5CD05098CF","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: CT:WHHWLOAARE3J4Y"
"HP ProBook 440 G7HP","5CD034LC6T","Laptop","HP","ProBook 440 G7HP","5CD034LC6T","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WHGREOARLDZ6GO"
"HP ProBook 450 G7","SCD0493HB3","Laptop","HP","ProBook 450 G7","SCD0493HB3","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WDUVAOCNJ9HOB7"
"Lenovo 80XL","PF0U169T","Laptop","Lenovo","80XL","PF0U169T","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Pavilion laptop 15","5CD05098L7","Laptop","HP","Pavilion laptop 15","5CD05098L7","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Lenevo 80xl","PF0W0BUN","Laptop","Lenevo","80xl","PF0W0BUN","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 G8 Notebook PC","CND1468XVJ","Laptop","HP","250 G8 Notebook PC","CND1468XVJ","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 450 G7","5CD0493GZR","Laptop","HP","ProBook 450 G7","5CD0493GZR","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP 250 G8 Notebook PC","CND1468WW8","Laptop","HP","250 G8 Notebook PC","CND1468WW8","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP ProBook 440 G7HP","5CND034LC7P","Laptop","HP","ProBook 440 G7HP","5CND034LC7P","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Grapnics Tablet-KM-WP9620","KMWP96200IF200001","Laptop","Grapnics","Tablet-KM-WP9620","KMWP96200IF200001","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: Cabel / pen "
