assetTag,name,category,manufacturer,model,serialNumber,status,condition,location,department,purchaseDate,warrantyExpiry,supplier,notes
CND1468XHM,HP Note Book 250 G8 HP,,HP,Notebook 250 G8,CND1468XHM,Available,Good,KIU,IT Division,,,,
PFOU1HA7,Lenovo 80XL,,Lenovo,80XL,PFOU1HA7,Available,Good,KIU,IT Division,,,,
CND1468X08,HP Note Book 250 G8 HP,,HP,Notebook 250 G8,CND1468X08,Available,Good,KIU,IT Division,,,,
CND14686DB,HP Note Book 250 G8 HP,,HP,Notebook 250 G8,CND14686DB,Available,Good,KIU,IT Division,,,,
CND1468Y17,HP Note Book 250 G8 HP,,HP,Notebook 250 G8,CND1468Y17,Available,Good,KIU,IT Division,,,,
JDJBX23,Dell Inc. Inspiron,,Dell,Inspiron,JDJBX23,Available,Good,KIU,IT Division,,,,
5CD034LC6V,HP ProBook 440 G7HP,,HP,ProBook 440 G7,5CD034LC6V,Available,Good,KIU,IT Division,,,,
5CD05098CF,HP Pavilion laptop 15,,HP,Pavilion Laptop 15,5CD05098CF,Available,Good,KIU,IT Division,,,,
5CD034LC6T,HP ProBook 440 G7HP,,HP,ProBook 440 G7,5CD034LC6T,Available,Good,KIU,IT Division,,,,
SCD0493HB3,HP ProBook 450 G7,,HP,ProBook 450 G7,SCD0493HB3,Available,Good,KIU,IT Division,,,,
PF0U169T,Lenovo 80XL,,Lenovo,80XL,PF0U169T,Available,Good,KIU,IT Division,,,,
5CD05098L7,HP Pavilion laptop 15,,HP,Pavilion Laptop 15,5CD05098L7,Available,Good,KIU,IT Division,,,,
PF0W0BUN,Lenevo 80xl,,Lenovo,"80XL (corrected from ""Lenevo"")",PF0W0BUN,Available,Good,KIU,IT Division,,,,
CND1468XHM,HP 250 G8 Notebook PC,,HP,250 G8 Notebook PC,CND1468XHM,Available,Good,KIU,IT Division,,,,
CND1468XVJ,HP 250 G8 Notebook PC,,HP,250 G8 Notebook PC,CND1468XVJ,Available,Good,KIU,IT Division,,,,
CND1468X08,HP 250 G8 Notebook PC,,HP,250 G8 Notebook PC,CND1468X08,Available,Good,KIU,IT Division,,,,
5CD0493GZR,HP ProBook 450 G7,,HP,ProBook 450 G7,5CD0493GZR,Available,Good,KIU,IT Division,,,,
CND1468WW8 ,HP 250 G8 Notebook PC,,HP,250 G8 Notebook PC,CND1468WW8 ,Available,Good,KIU,IT Division,,,,
5CND034LC7P,HP ProBook 440 G7HP,,HP,ProBook 440 G7,5CND034LC7P,Available,Good,KIU,IT Division,,,,
